	sysA	sysB	sysC
I_EcosystemQuality_Total	-306.87162787696036	-3201.5578075543017	-921.8341414903938
I_HumanHealth_Total	0.16136909823579315	-0.2214468421313214	0.3144393159255903
I_Resources_Total	0.21295750566334623	-0.356960951187423	1.3672034204543326
H_EcosystemQuality_Total	-371.04045858430715	-3871.307383573435	-1114.683613325984
H_HumanHealth_Total	0.20460887746066936	-0.17709372298736473	0.41160079447096
H_Resources_Total	0.2457366918321932	-0.2942841657695248	1.1398505496550142
E_EcosystemQuality_Total	-253.5555968497188	-2648.0344138371647	-761.9759941457046
E_HumanHealth_Total	0.4587444168381173	-0.5184930798942146	1.238765264989898
E_Resources_Total	0.2457366918321932	-0.2942841657695248	1.1398505496550142
